Mines Gathered;Dead Sweepers
10;29
9;30
8;30
9;29
9;30
9;30
10;29
6;30
8;30
10;29
3;30
8;30
8;30
10;29
10;30
8;30
7;29
8;30
8;30
7;30
8;30
